label,qid,instance_of_qid
Maryland,Q1391,Q35657
Maryland County,Q870138,Q874821
María Trinidad Sánchez Province,Q1949656,Q913337
Masally District,Q476695,Q13417250
Masaya Department,Q570358,Q822715
Masbate,Q13847,Q24746
Mascara Province,Q236776,Q240601
Maseru District,Q844921,Q844531
Mashonaland Central Province,Q596156,Q492042
Mashonaland East Province,Q465853,Q492042
Mashonaland West Province,Q457189,Q492042
Massachusetts,Q771,Q35657
Masvingo Province,Q498351,Q492042
Matabeleland North Province,Q456562,Q492042
Matabeleland South Province,Q498355,Q492042
Matagalpa Department,Q728099,Q822715
Matam,Q856275,Q847667
Matanzas Province,Q115438,Q115291
Mato Grosso,Q42824,Q485258
Mato Grosso do Sul,Q43319,Q485258
Matruh Governorate,Q30682,Q204910
Maule Región,Q2166,Q590080
Maupiti,Q1911201,Q84598477
Mauren,Q49661,Q203300
Mavrovo i Rostuše Municipality,Q1323332,Q646793
Mayabeque Province,Q115310,Q115291
Mayaguana District,Q21712462,Q1230132
Mayaro-Rio Claro,Q2487249,Q20732239
Mayo-Kebbi Est Region,Q911421,Q640262
Mayo-Kebbi Ouest Region,Q910393,Q640262
Mayotte,Q17063,Q202216
Maysan Governorate,Q213170,Q841753
Mazandaran Province,Q308864,Q1344695
Mačva District,Q867803,Q648681
Mažeikiai District Municipality,Q313132,Q17301072
Mbeya Region,Q458382,Q845820
Mbomou Prefecture,Q848582,Q843886
Mecca Province,Q234167,Q15728204
Mecklenburg-Vorpommern,Q1196,Q1221156
Medenine Governorate,Q327087,Q690084
Medina Province,Q236027,Q15728204
Meemu Atoll,Q2210716,Q757549
Meghalaya,Q1195,Q12443800
Mehedinți County,Q191717,Q1776764
Melaky,Q1514040,Q971831
Melekeok,Q12898552,Q1044181
Melilla,Q5831,Q16532593
Mella Department,Q3305157,Q92938359
Menabe,Q1344087,Q971831
Mendoza Province,Q44797,Q44753
Meneng District,Q327788,Q319796
Mersch District,Q6820532,Q216888
Mersin,Q134291,Q2716259
Mersin Metropolitan Municipality,Q28479183,Q2716259
Mersin Province,Q132637,Q48336
Meru County,Q15045704,Q269218
Messaad Province,Q131588980,Q240601
Meta Department,Q238629,Q215655
Metro Manila,Q13580,Q24698
Mexico City,Q1489,Q20528428
Međimurje County,Q58330,Q57053
Miaoli County,Q63706,Q706447
Michael,Q3307970,Q12883402
Michałów Land,Q576596,Q1248049
Michigan,Q1166,Q35657
Michoacán,Q79861,Q15149663
Micoud Quarter,Q1240193,Q1753792
Mid-Western State,Q27536429,Q465842
Middle,Q1145116,Q12883402
Midi-Pyrénées,Q16393,Q36784
Midlands Province,Q456556,Q492042
Midway Atoll,Q47863,Q462778
Mie Prefecture,Q128196,Q50337
Mielnik Land,Q9391123,Q1248049
Migori County,Q429955,Q269218
Mila Province,Q235723,Q240601
Milne Bay Province,Q874962,Q1053630
Mimaropa,Q13658,Q24698
Min Buri,Q13014115,Q50198
Minas Gerais,Q39109,Q485258
Mincio Department,Q3314760,Q92938359
Mingachevir,Q230932,Q56557664
Minnesota,Q1527,Q35657
Minsk,Q2280,Q10864048
Minsk Region,Q192959,Q209325
Minya Governorate,Q30675,Q204910
Miranda,Q191174,Q501094
Miren–Kostanjevica Municipality,Q658076,Q328584
Mirna Municipality,Q1515842,Q328584
Mirna Peč Municipality,Q1016805,Q328584
Misamis Occidental,Q13857,Q24746
Misamis Oriental,Q13860,Q24746
Misiones Department,Q591194,Q815068
Misiones Province,Q44798,Q44753
Mislinja Municipality,Q999584,Q328584
Misrata District,Q32845,Q48242
Mississippi,Q1494,Q35657
Missouri,Q1581,Q35657
Mitrovica District,Q1046673,Q2915243
Miyagi Prefecture,Q47896,Q50337
Miyazaki Prefecture,Q130300,Q50337
Mizda,Q1474013,Q48242
Mizoram,Q1502,Q12443800
Mjini Magharibi Region,Q180822,Q845820
Mogila Municipality,Q1839369,Q646793
Mogilev region,Q189822,Q209325
Mohale's Hoek District,Q839074,Q844531
Mohéli,Q271797,Q20732232
Mojkovac Municipality,Q3299782,Q838549
Moka District,Q911643,Q2387050
Mokhotlong District,Q817340,Q844531
Mokronog-Trebelno Municipality,Q1027078,Q328584
Molise,Q1443,Q16110
Molėtai District Municipality,Q2089785,Q17301072
Mombasa County,Q1112885,Q269218
Mon State,Q818742,Q17315624
Monagas,Q205776,Q501094
Monastir Governorate,Q318102,Q690084
Mondulkiri Province,Q652830,Q7252589
Mongala,Q847527,Q654140
Mongar District,Q389734,Q831889
Mono Department,Q29135,Q792929
Monseñor Nouel Province,Q1295496,Q913337
Mont Buxton,Q3241682,Q1149621
Mont Fleuri,Q1945413,Q1149621
Montagna Department,Q3708657,Q92938359
Montagnes District,Q20980366,Q20717263
Montana,Q1212,Q35657
Montana Oblast,Q2012057,Q209824
Monte Cristi Province,Q592624,Q913337
Monte Plata Province,Q1772745,Q913337
Montegiardino,Q206962,Q14292916
Montevideo Department,Q16594,Q56059
Montserrado County,Q862608,Q874821
Montserrat,Q13353,Q46395
Monufia Governorate,Q30786,Q204910
Moore's Island District,Q21713445,Q1230132
Moorea-Maiao,Q613162,Q84598477
Mopti Region,Q214155,Q743074
Moquegua Department,Q208182,Q861184
Moravian-Silesian Region,Q190550,Q38911
Moravica District,Q915380,Q648681
Morazán Department,Q1122836,Q475214
Mordovia,Q5340,Q41162
Morelos,Q66117,Q15149663
Morobe Province,Q853664,Q1053630
Morogoro Region,Q458388,Q845820
Morona-Santiago Province,Q549522,Q719987
Moscow Oblast,Q1697,Q835714
Mostaganem Province,Q221445,Q240601
Moste,Q6916919,Q12806962
Mount Lebanon Governorate,Q216945,Q844713
Mountain Province,Q13861,Q24746
Moxico Leste,Q131747679,Q329028
Moxico Province,Q173988,Q329028
Moyen-Chari Region,Q177799,Q640262
Moyen-Ogooué Province,Q590802,Q653596
Mpumalanga,Q132410,Q191093
Mtskheta-Mtianeti,Q203339,Q1210300
Mtwara Region,Q499465,Q845820
Mubarak Al-Kabeer Governorate,Q913370,Q842876
Muchinga Province,Q6714242,Q15313730
Muharraq Governorate,Q375630,Q867606
Mukdahan,Q335119,Q50198
Municipality of Apače,Q3278915,Q328584
Municipality of Beltinci,Q778542,Q328584
Municipality of Benedikt,Q779018,Q328584
Municipality of Bistrica ob Sotli,Q13377731,Q328584
Municipality of Bled,Q647572,Q328584
Municipality of Bloke,Q164123,Q328584
Municipality of Borovnica,Q13377747,Q328584
Municipality of Bovec,Q3259688,Q328584
Municipality of Braslovče,Q1034410,Q328584
Municipality of Brda,Q763400,Q328584
Municipality of Brezovica,Q849320,Q328584
Municipality of Brežice,Q906879,Q328584
Municipality of Cankova,Q13377751,Q328584
Municipality of Cerklje na Gorenjskem,Q859679,Q328584
Municipality of Cerknica,Q13107298,Q328584
municipality of Cerkno,Q13220435,Q328584
Municipality of Cerkvenjak,Q1252438,Q328584
Municipality of Cirkulane,Q13370246,Q328584
Municipality of Destrnik,Q570618,Q328584
Municipality of Divača,Q557216,Q328584
Municipality of Dobje,Q1008179,Q328584
Municipality of Dobrepolje,Q1009409,Q328584
Municipality of Dobrna,Q999579,Q328584
Municipality of Dobrova–Polhov Gradec,Q1005208,Q328584
Municipality of Dobrovnik,Q13365892,Q328584
Municipality of Dol pri Ljubljani,Q998557,Q328584
Municipality of Dolenjske Toplice,Q1016840,Q328584
Municipality of Domžale,Q13377763,Q328584
Municipality of Dornava,Q1003969,Q328584
Municipality of Dravograd,Q3503123,Q328584
Municipality of Duplek,Q999589,Q328584
Municipality of Gorenja Vas-Poljane,Q1005224,Q328584
Municipality of Gorišnica,Q632998,Q328584
Municipality of Gorje,Q1027062,Q328584
Municipality of Gornja Radgona,Q570397,Q328584
Municipality of Gornji Grad,Q726548,Q328584
Municipality of Gornji Petrovci,Q3435689,Q328584
Municipality of Grad,Q1019067,Q328584
Municipality of Grosuplje,Q13377778,Q328584
Municipality of Hajdina,Q995065,Q328584
Municipality of Hodoš,Q13365904,Q328584
Municipality of Horjul,Q1005185,Q328584
Municipality of Hoče-Slivnica,Q1008102,Q328584
Municipality of Hrpelje-Kozina,Q556206,Q328584
Municipality of Idrija,Q3441842,Q328584
Municipality of Ilirska Bistrica,Q13377784,Q328584
Municipality of Ivančna Gorica,Q1008048,Q328584
Municipality of Izola,Q12042076,Q328584
Municipality of Jesenice,Q15881,Q328584
Municipality of Jezersko,Q1688771,Q328584
Municipality of Juršinci,Q1003984,Q328584
Municipality of Kamnik,Q3503153,Q328584
Municipality of Kanal ob Soči,Q3435496,Q328584
Municipality of Kidričevo,Q776770,Q328584
Municipality of Kobilje,Q927718,Q328584
Municipality of Kostanjevica na Krki,Q12062190,Q328584
Municipality of Kozje,Q1009421,Q328584
Municipality of Kočevje,Q15884,Q328584
Municipality of Kranjska Gora,Q507051,Q328584
Municipality of Križevci,Q999563,Q328584
Municipality of Kungota,Q998566,Q328584
Municipality of Kuzma,Q906636,Q328584
Municipality of Lenart,Q13365883,Q328584
Municipality of Lendava,Q587328,Q328584
Municipality of Litija,Q15891,Q328584
Municipality of Ljubno,Q773659,Q328584
Municipality of Logatec,Q15893,Q328584
Municipality of Log–Dragomer,Q1027089,Q328584
Municipality of Lovrenc na Pohorju,Q25110,Q328584
Municipality of Loški Potok,Q999553,Q328584
Municipality of Lukovica,Q946766,Q328584
Municipality of Luče,Q669648,Q328584
Municipality of Majšperk,Q1002371,Q328584
Municipality of Makole,Q1808143,Q328584
Municipality of Markovci,Q1008095,Q328584
Municipality of Medvode,Q15894,Q328584
Municipality of Mengeš,Q15895,Q328584
Municipality of Metlika,Q3441856,Q328584
Municipality of Mežica,Q678147,Q328584
Municipality of Miklavž na Dravskem Polju,Q1005165,Q328584
Municipality of Moravske Toplice,Q3494723,Q328584
Municipality of Moravče,Q1012761,Q328584
Municipality of Mozirje,Q670975,Q328584
Municipality of Muta,Q6309297,Q328584
Municipality of Naklo,Q1569014,Q328584
Municipality of Nazarje,Q954987,Q328584
Municipality of Odranci,Q924698,Q328584
Municipality of Oplotnica,Q1587261,Q328584
Municipality of Osilnica,Q778147,Q328584
Municipality of Pesnica,Q995048,Q328584
municipality of Phnom Penh,Q30898219,Q7252589
Municipality of Pivka,Q252154,Q328584
Municipality of Podlehnik,Q1002247,Q328584
Municipality of Podvelka,Q1016800,Q328584
Municipality of Podčetrtek,Q999540,Q328584
Municipality of Poljčane,Q594852,Q328584
Municipality of Polzela,Q938443,Q328584
Municipality of Postojna,Q2242799,Q328584
Municipality of Prebold,Q1016698,Q328584
Municipality of Preddvor,Q539864,Q328584
Municipality of Prevalje,Q650009,Q328584
Municipality of Puconci,Q921092,Q328584
Municipality of Radenci,Q338743,Q328584
Municipality of Radlje ob Dravi,Q1005364,Q328584
Municipality of Radovljica,Q15910,Q328584
Municipality of Ravne na Koroškem,Q13378051,Q328584
Municipality of Razkrižje,Q3435117,Q328584
Municipality of Rače–Fram,Q731093,Q328584
Municipality of Renče–Vogrsko,Q612216,Q328584
Municipality of Rečica ob Savinji,Q13378058,Q328584
Municipality of Ribnica,Q15912,Q328584
Municipality of Ribnica na Pohorju,Q1009413,Q328584
Municipality of Rogatec,Q1027245,Q328584
Municipality of Rogaška Slatina,Q15913,Q328584
Municipality of Rogašovci,Q599480,Q328584
Municipality of Selnica ob Dravi,Q919934,Q328584
Municipality of Semič,Q1587704,Q328584
Municipality of Sežana,Q554854,Q328584
Municipality of Slovenska Bistrica,Q11211457,Q328584
Municipality of Sodražica,Q1008079,Q328584
Municipality of Središče ob Dravi,Q3441796,Q328584
Municipality of Starše,Q1016826,Q328584
Municipality of Straža,Q1784972,Q328584
Municipality of Sveta Trojica v Slovenskih Goricah,Q1016820,Q328584
Municipality of Sveti Andraž v Slovenskih Goricah,Q925149,Q328584
Municipality of Sveti Jurij ob Ščavnici,Q920353,Q328584
Municipality of Sveti Jurij v Slovenskih Goricah,Q1008144,Q328584
Municipality of Sveti Tomaž,Q1016831,Q328584
Municipality of Tabor,Q999530,Q328584
Municipality of Tišina,Q1276793,Q328584
Municipality of Tolmin,Q15924,Q328584
Municipality of Trbovlje,Q15925,Q328584
Municipality of Trnovska Vas,Q999559,Q328584
Municipality of Trzin,Q773160,Q328584
Municipality of Tržič,Q15927,Q328584
Municipality of Turnišče,Q201074,Q328584
Municipality of Velika Polana,Q995101,Q328584
Municipality of Velike Lašče,Q13378281,Q328584
Municipality of Veržej,Q1008086,Q328584
municipality of Videm,Q1002863,Q328584
Municipality of Vipava,Q1002229,Q328584
Municipality of Vitanje,Q13378288,Q328584
Municipality of Vodice,Q13378292,Q328584
Municipality of Vojnik,Q2134561,Q328584
Municipality of Vransko,Q13378299,Q328584
Municipality of Vrhnika,Q9014817,Q328584
Municipality of Vuzenica,Q370390,Q328584
Municipality of Zavrč,Q167001,Q328584
Municipality of Črenšovci,Q341658,Q328584
Municipality of Črna na Koroškem,Q279072,Q328584
Municipality of Šalovci,Q13378373,Q328584
Municipality of Šempeter–Vrtojba,Q391428,Q328584
Municipality of Šentilj,Q391446,Q328584
Municipality of Šentjernej,Q1016812,Q328584
Municipality of Šentrupert,Q3487128,Q328584
Municipality of Šenčur,Q2346638,Q328584
Municipality of Škocjan,Q391800,Q328584
Municipality of Škofja Loka,Q2318898,Q328584
Municipality of Škofljica,Q392103,Q328584
Municipality of Šmarje pri Jelšah,Q392173,Q328584
Municipality of Šmarješke Toplice,Q3509893,Q328584
Municipality of Šmartno ob Paki,Q392188,Q328584
Municipality of Šmartno pri Litiji,Q13378453,Q328584
Municipality of Šoštanj,Q15923,Q328584
Municipality of Štore,Q392468,Q328584
Municipality of Žalec,Q15931,Q328584
Municipality of Žetale,Q393910,Q328584
Municipality of Žiri,Q394087,Q328584
Municipality of Žirovnica,Q394103,Q328584
Municipality of Žužemberk,Q13377798,Q328584
Muramvya Province,Q671086,Q476075
Muranga County,Q1781723,Q269218
Mureș County,Q190711,Q1776764
Murmansk Oblast,Q1759,Q835714
Murqub,Q209778,Q48242
Murzuq District,Q48239,Q48242
Musandam Governorate,Q372144,Q641078
Muscat Governorate,Q544762,Q641078
Muyinga Province,Q822571,Q476075
Muğla,Q216912,Q2716259
Muğla Metropolitan Municipality,Q28479189,Q2716259
Muğla Province,Q123934,Q48336
Muş Province,Q131387,Q48336
Mwanza Region,Q331153,Q845820
Mwaro Province,Q847718,Q476075
Mykolaiv Oblast,Q181633,Q3348196
Mymensingh Division,Q19594930,Q878040
Médéa Province,Q235810,Q240601
Ménaka Region,Q3455550,Q743074
Mérida,Q165582,Q501094
Møre og Romsdal,Q50627,Q192299
Mārupe Municipality,Q97232200,Q3345345
N'Djamena,Q3659,Q640262
Naama Province,Q233675,Q240601
Nabatieh Governorate,Q458417,Q844713
Nabeul Governorate,Q328145,Q690084
Nablus Governorate,Q1074138,Q50495
Naftalan,Q152825,Q56557664
Nagaland,Q1599,Q12443800
Nagano Prefecture,Q127877,Q50337
Nagasaki Prefecture,Q169376,Q50337
Nagykanizsa,Q14424,Q681277
Nairobi City County,Q3335223,Q269218
Najaf Governorate,Q192882,Q841753
Najran Province,Q464718,Q15728204
Nakambé (région),Q543006,Q867094
Nakhchivan,Q230104,Q56557664
Nakhon Champasak,Q13014099,Q50198
Nakhon Nayok,Q466212,Q50198
Nakhon Pathom,Q334841,Q50198
Nakhon Phanom,Q468547,Q50198
Nakhon Ratchasima,Q271737,Q50198
Nakhon Sawan,Q239844,Q50198
Nakhon Si Thammarat,Q244691,Q50198
Nakuru County,Q1852202,Q269218
Nalut District,Q27659,Q48242
Namangan Region,Q474876,Q842420
Namibe Province,Q216819,Q329028
Nampula Province,Q622794,Q695469
Nan,Q244698,Q50198
Nan'yōdō,Q11408091,Q131335924
Nana-Grébizi Economic Prefecture,Q856227,Q843886
Nana-Mambéré Prefecture,Q742455,Q843886
Nandi,Q33225417,Q10864048
Nandi County,Q1964569,Q269218
Nando,Q850075,Q867094
Nangarhar Province,Q178471,Q158683
Nantou County,Q82357,Q706447
Nanumanga,Q367027,Q59369306
Nanumea,Q174618,Q59369306
Napo Province,Q211900,Q719987
Napuka,Q1965092,Q84598477
Nara,Q131467708,Q743074
Nara Prefecture,Q131287,Q50337
Narathiwat,Q271442,Q50198
Nariño Department,Q230217,Q215655
Narok County,Q1852220,Q269218
Naryn Region,Q486375,Q693039
Nasarawa State,Q836645,Q465842
National Capital District,Q1378310,Q1053630
National Capital Territory of Delhi,Q9357528,Q467745
Navarre,Q4018,Q3297051
Navassa Island,Q25359,Q462778
Navoiy Region,Q487570,Q842420
Nayarit,Q79920,Q15149663
Nazinon,Q853405,Q867094
Neamț County,Q188661,Q1776764
Nebraska,Q1553,Q35657
Neftchala District,Q688633,Q13417250
Negeri Sembilan,Q213893,Q15063586
Negotino Municipality,Q3246545,Q646793
Negros Island Region,Q17081785,Q24698
Negros Occidental,Q13862,Q24746
Negros Oriental,Q13863,Q24746
Nelson Region,Q1995856,Q216712
Nenets Autonomous Okrug,Q2164,Q184122
Neringa Municipality,Q9305847,Q1363145
Neuquén Province,Q44800,Q44753
Neutral Municipality,Q658161,Q10864048
Nevada,Q1227,Q35657
Nevis,Q207794,Q10864048
Nevşehir Province,Q430693,Q48336
New Brunswick,Q1965,Q11828004
New Caledonia,Q33788,Q719487
New Hampshire,Q759,Q35657
New Ireland Province,Q838690,Q1053630
New Jersey,Q1408,Q35657
New Mexico,Q1522,Q35657
New Providence,Q3339000,Q1230132
New South Wales,Q3224,Q5852411
New Taipei,Q244898,Q2225003
New Valley Governorate,Q30650,Q204910
New York,Q1384,Q35657
Newfoundland and Labrador,Q2003,Q11828004
Ngamiland,Q3339267,Q57368
Ngaraard,Q1154127,Q1044181
Ngarchelong,Q1070185,Q1044181
Ngardmau,Q1144496,Q1044181
Ngatpang,Q430385,Q1044181
Ngchesar,Q1070180,Q1044181
Ngeremlengui,Q975076,Q1044181
Nghệ An,Q36587,Q2824648
Ngiwal,Q1154101,Q1044181
Ngounié Province,Q823774,Q653596
Ngozi Province,Q720852,Q476075
Ngöbe-Buglé Comarca,Q1129783,Q10864048
Niamey,Q3674,Q10864048
Niamey Region,Q55724634,Q859869
Niari Department,Q969317,Q868893
Niassa Province,Q622799,Q695469
Nibok District,Q378780,Q319796
Nickerie District,Q1147515,Q1649296
Nicosia District,Q59147,Q59136
Nicosia District South,Q14848076,Q59136
Niger State,Q503932,Q465842
Niigata Prefecture,Q132705,Q50337
Nikšić Municipality,Q4865016,Q838549
Nimba,Q868497,Q874821
Nimruz Province,Q183021,Q158683
Nineveh Governorate,Q189352,Q841753
Ningsia,Q6146085,Q9319988
Ninh Bình,Q36900,Q2824648
Nioro,Q131314964,Q743074
Nippes,Q125232,Q62127
Nisporeni District,Q878266,Q15068450
Nitra Region,Q184548,Q15057583
Niuas,Q1200954,Q20740204
Niutao Island Council,Q17578833,Q59369306
Nizhny Novgorod Oblast,Q2246,Q835714
Niğde Province,Q155219,Q48336
Nišava District,Q1061076,Q648681
Njombe Region,Q2086273,Q845820
Nkéni-Alima Department,Q134457202,Q868893
Nong Bua Lamphu,Q261241,Q50198
Nong Khai,Q327737,Q50198
Nonthaburi,Q242932,Q50198
Noonu Atoll,Q2406322,Q757549
Nord,Q943932,Q62127
Nord-Est,Q928694,Q62127
Nord-Ouest,Q608361,Q62127
Nord-Pas-de-Calais,Q16987,Q36784
Nord-Ubangi,Q843312,Q654140
Nordland,Q50630,Q192299
Norfolk Island,Q31057,Q11687019
Normandy,Q18677875,Q36784
Norrbotten County,Q103686,Q200547
Norte de Santander Department,Q233058,Q215655
Norte Province,Q13378475,Q18592472
North,Q502341,Q869042
North Abaco,Q623327,Q1230132
North Aegean Region,Q173620,Q207299
North Andros,Q2699411,Q1230132
North Australia,Q15640003,Q14192234
North Banat District,Q728041,Q648681
North Bank Division,Q846161,Q15646510
North Bačka District,Q648758,Q648681
North Brabant,Q1101,Q134390
North Caribbean Coast Autonomous Region,Q498452,Q822715
North Carolina,Q1454,Q35657
North Central Province,Q1057124,Q861559
North Central Province,Q13365881,Q18592110
North Chungcheong,Q41066,Q4925355
North Dakota,Q1207,Q35657
North Darfur,Q688306,Q746290
North East Community Development Council,Q3710534,Q4426538
North East Region,Q60764359,Q1052743
North Eastern Province,Q1322121,Q861559
North Eleuthera,Q2705535,Q1230132
North Gaza Governorate,Q181636,Q50495
North Governorate,Q390267,Q844713
North Gyeongsang,Q41154,Q4925355
North Hamgyeong,Q2949557,Q4925355
North Hamgyong Province,Q109361,Q15620174
North Holland,Q701,Q134390
North Hwanghae Province,Q109342,Q15620174
North Jeolla,Q41157,Q11279677
North Jutland County,Q866849,Q876730
North Jutland Region,Q26067,Q62326
North Kalimantan,Q3903,Q5098
North Karelia,Q5703,Q193512
North Kazakhstan Region,Q485088,Q836672
North Khorasan Province,Q180075,Q1344695
North Kivu,Q130625,Q654140
North Kordofan,Q864093,Q746290
North Maluku,Q5094,Q5098
North Ossetia–Alania,Q5237,Q41162
North Ostrobothnia,Q5704,Q193512
North Pemba Region,Q498073,Q845820
North Province,Q13365882,Q18592110
North Pyeongan,Q2949560,Q4925355
North Pyongan Province,Q109348,Q15620174
North Rhine-Westphalia,Q1198,Q1221156
North Savo,Q5706,Q193512
North Sinai Governorate,Q30662,Q204910
North Solomons,Q84103102,Q1053630
North Sulawesi,Q5068,Q5098
North Sumatra,Q2140,Q5098
North West,Q165956,Q191093
North West Community Development Council,Q5784118,Q4426538
North West Province,Q43371075,Q1145005
North Western Province,Q876339,Q861559
North-Central state,Q27536865,Q465842
North-East District,Q57636,Q57368
North-Eastern State,Q9294802,Q465842
North-West District,Q57617,Q57368
North-Western State,Q10337430,Q465842
Northeastern Region,Q241551,Q842100
Northern & Western Region,Q107021595,Q3455648
Northern Bahr el Ghazal,Q491111,Q496539
Northern Borders Province,Q201781,Q15728204
Northern Cape,Q132418,Q191093
Northern District,Q189942,Q193560
Northern Division,Q1062430,Q15646524
Northern Governorate,Q840445,Q867606
Northern Ireland,Q26,Q3336843
Northern Liech State,Q25101082,Q496539
Northern Mariana Islands,Q16644,Q462778
Northern Mindanao,Q13690,Q24698
Northern Province,Q598745,Q861559
Northern Province,Q778738,Q15313730
Northern Province,Q845807,Q871217
Northern Province,Q912359,Q1145005
Northern Red Sea Region,Q27910,Q874223
Northern Region,Q502215,Q1052743
Northern Region,Q868827,Q3271886
Northern Region,Q2559686,Q3076685
Northern Region,Q20199334,Q7309296
Northern Samar,Q13864,Q24746
Northern State,Q310118,Q746290
Northern Territory,Q3235,Q14192234
Northland Region,Q59596,Q216712
Northwest,Q823946,Q869042
Northwest Territories,Q2007,Q9357527
Northwestern Province,Q846320,Q15313730
Northwestern Region,Q210866,Q842100
Nouakchott South,Q20669653,Q846327
Nouakchott West,Q20669651,Q846327
Nouakchott-Nord,Q20669647,Q846327
Nouvelle-Aquitaine,Q18678082,Q36784
Nova Scotia,Q1952,Q11828004
Novaci Municipality,Q2088022,Q646793
Novgorod Oblast,Q2240,Q835714
Novo Selo Municipality,Q1946579,Q646793
Novosibirsk Oblast,Q5851,Q43263
Nueva Ecija,Q13865,Q24746
Nueva Esparta,Q204876,Q501094
Nueva Segovia Department,Q728022,Q822715
Nueva Vizcaya,Q13866,Q24746
Nuevo Asunción Department,Q15977821,Q815068
Nuevo León,Q15282,Q15149663
Nuevo León-Coahuila,Q2628583,Q15149663
Nui,Q547997,Q59369306
Nuku-Hiva,Q932909,Q84598477
Nukufetau,Q745924,Q59369306
Nukulaelae,Q128654,Q59369306
Nukutavake,Q971726,Q84598477
Nunavut,Q2023,Q9357527
Nunkiang,Q1350568,Q9319988
Nuqat al Khams District,Q26161,Q48242
Nur Land,Q9391125,Q1248049
Nuristan Province,Q167485,Q158683
Nyamira county,Q1569613,Q269218
Nyandarua County,Q1714352,Q269218
Nyanga Province,Q846017,Q653596
Nyeri County,Q749665,Q269218
Nyíregyháza,Q171223,Q681277
Nzérékoré Region,Q870146,Q1067116
Nógrád County,Q194273,Q188604
O'Higgins Region,Q2133,Q590080
Oaxaca,Q34110,Q15149663
Obock Region,Q844929,Q1202812
Occidental Mindoro,Q13867,Q24746
Occitania,Q18678265,Q36784
Ochamchira District,Q621000,Q13220372
Ocnița District,Q266444,Q15068450
Ocotepeque Department,Q867084,Q728145
Oddar Meanchey Province,Q629538,Q7252589
Odesa Oblast,Q171852,Q3348196
Odisha,Q22048,Q12443800
Oe-Cusse Ambeno,Q860639,Q741821
Oghuz District,Q643989,Q13417250
Ogooué-Ivindo Province,Q823822,Q653596
Ogooué-Lolo Province,Q823762,Q653596
Ogooué-Maritime Province,Q823751,Q653596
Ogre,Q731915,Q109329953
Ogre Municipality,Q97232220,Q3345345
Ogun State,Q836657,Q465842
Ohangwena Region,Q845702,Q608843
Ohio,Q1397,Q35657
Ohrid Municipality,Q1125333,Q646793
Oita Prefecture,Q133924,Q50337
Okayama Prefecture,Q132936,Q50337
Okinawa Prefecture,Q766445,Q50337
Oklahoma,Q1649,Q35657
Olaine Municipality,Q2451375,Q3345345
Olancho Department,Q867089,Q728145
Old Royal Capital Cetinje,Q3305075,Q838549
Olomouc Region,Q193307,Q38911
Olona Department,Q3351539,Q92938359
Olt County,Q188945,Q1776764
Omaheke Region,Q838775,Q608843
Ombella-M'Poko Prefecture,Q378970,Q843886
Omsk Oblast,Q5835,Q43263
Omusati Region,Q764385,Q608843
Ondo State,Q836654,Q465842
Ontario,Q1904,Q11828004
Oran Province,Q231331,Q240601
Orange Walk District,Q506036,Q765865
Ordino,Q24272,Q24279
Ordu,Q184539,Q2716259
Ordu Metropolitan Municipality,Q28479191,Q2716259
Ordu Province,Q483180,Q48336
Ordubad District,Q512623,Q13417250
Oregon,Q824,Q35657
Orellana Province,Q499475,Q719987
Orenburg Oblast,Q5338,Q835714
Orhei,Q423258,Q1963041
Orhei County,Q6273077,Q4469598
Oriental,Q23048167,Q845643
Oriental Mindoro,Q13868,Q24746
Orientale Province,Q831370,Q654140
Oriente Province,Q1500652,Q115291
Orkhon Province,Q234710,Q50399
Ormož Municipality,Q15900,Q328584
Oro Province,Q753686,Q1053630
Oromia Region,Q202107,Q1057504
Oruro Department,Q1061368,Q250050
Oryol Oblast,Q3129,Q43263
Osaka Prefecture,Q122723,Q50337
Osh,Q47282,Q10864048
Osh City,Q33225425,Q10864048
Osh Region,Q231987,Q693039
Oshana Region,Q534528,Q608843
Oshikoto Region,Q876512,Q608843
Osijek-Baranja County,Q58159,Q57053
Oslo Municipality,Q5245991,Q192299
Oslomej Municipality,Q2001785,Q646793
Osmaniye Province,Q281206,Q48336
Ostrobothnia,Q5702,Q193512
Osun State,Q682721,Q465842
Otago Region,Q692912,Q216712
Oti Region,Q48804004,Q1052743
Otjozondjupa Region,Q876506,Q608843
Otočec,Q1909540,Q20522070
Ouaddaï Region,Q841338,Q640262
Ouaka Prefecture,Q848560,Q843886
Ouargla Province,Q235709,Q240601
Oubri,Q862606,Q867094
Oude IJssel Department,Q2483094,Q15631887
Ouest,Q1434621,Q62127
Ouham Prefecture,Q726620,Q843886
Ouham-Fafa,Q113897006,Q843886
Ouham-Pendé Prefecture,Q848591,Q843886
Ouled Djellal Province,Q77105251,Q240601
Oum El Bouaghi Province,Q235705,Q240601
Outer Islands,Q1547337,Q1149621
Ouémé Department,Q29169,Q792929
Overijssel,Q773,Q134390
Oyo State,Q503905,Q465842
Paea,Q1788505,Q84598477
Pagėgiai Municipality,Q2283574,Q1363145
Pahang,Q191346,Q15063586
Pailin Province,Q506646,Q7252589
Pakruojis District Municipality,Q1657116,Q17301072
Paktia Province,Q182493,Q158683
Paktika Province,Q185575,Q158683
Palanga City Municipality,Q3685410,Q17166803
Palauli,Q1147216,Q1070167
Palawan,Q13869,Q24746
Palmyra Atoll,Q123076,Q462778
Pamplemousses District,Q934126,Q2387050
